Kommunenr.,Kommunenavn,Fylke,Sone,Kommentar
4201,Risør,Agder,2,Røysland er grensejustert over til Tvedestrand
4202,Grimstad,Agder,1,
4203,Arendal,Agder,1,
4204,Kristiansand,Agder,1,
4205,Lindesnes,Agder,1,
4206,Farsund,Agder,1,
4207,Flekkefjord,Agder,1,
4211,Gjerstad,Agder,2,
4212,Vegårshei,Agder,1,
4213,Tvedestrand,Agder,1,Røysland er grensejustert over til Tvedestrand
4214,Froland,Agder,1,
4215,Lillesand,Agder,1,
4216,Birkenes,Agder,1,
4217,Åmli,Agder,2,
4218,Iveland,Agder,1a,
4219,Evje og Hornnes,Agder,2,
4220,Bygland,Agder,2,
4221,Valle,Agder,2,
4222,Bykle,Agder,2,
4223,Vennesla,Agder,1,
4224,Åseral,Agder,2,
4225,Lyngdal,Agder,1a,Gamle Audnedal
4225,Lyngdal,Agder,1,
4226,Hægebostad,Agder,1a,
4227,Kvinesdal,Agder,1,
4228,Sirdal,Agder,1a,
3201,Bærum,Akershus,1,
3203,Asker,Akershus,1,
3205,Lillestrøm,Akershus,1,
3207,Nordre Follo,Akershus,1,
3209,Ullensaker,Akershus,1,
3212,Nesodden,Akershus,1,
3214,Frogn,Akershus,1,
3216,Vestby,Akershus,1,
3218,Ås,Akershus,1,
3220,Enebakk,Akershus,1,
3222,Lørenskog,Akershus,1,
3224,Rælingen,Akershus,1,
3226,Aurskog-Høland,Akershus,1,
3228,Nes,Akershus,1,
3230,Gjerdrum,Akershus,1,
3232,Nittedal,Akershus,1,
3234,Lunner,Akershus,1,
3236,Jevnaker,Akershus,1,
3238,Nannestad,Akershus,1,
3240,Eidsvoll,Akershus,1,
3242,Hurdal,Akershus,1,
3301,Drammen,Buskerud,1,
3303,Kongsberg,Buskerud,1,
3305,Ringerike,Buskerud,1,
3310,Hole,Buskerud,1,
3312,Lier,Buskerud,1,
3314,Øvre Eiker,Buskerud,1,
3316,Modum,Buskerud,1,
3318,Krødsherad,Buskerud,1,
3320,Flå,Buskerud,2,
3322,Nesbyen,Buskerud,2,
3324,Gol,Buskerud,2,
3326,Hemsedal,Buskerud,2,
3328,Ål,Buskerud,2,
3330,Hol,Buskerud,2,
3332,Sigdal,Buskerud,1a,
3334,Flesberg,Buskerud,1,
3336,Rollag,Buskerud,2,
3338,Nore og Uvdal,Buskerud,2,
5601,Alta,Finnmark,5,
5603,Hámmerfeasta - Hammerfest,Finnmark,5,
5605,Sør-Varanger,Finnmark,5,
5607,Vadsø,Finnmark,5,
5610,Kárásjohka - Karasjok,Finnmark,5,
5612,Guovdageaidnu - Kautokeino,Finnmark,5,
5614,Loppa,Finnmark,5,
5616,Hasvik,Finnmark,5,
5618,Måsøy,Finnmark,5,
5620,Nordkapp,Finnmark,5,
5622,Porsanger - Porsángu - Porsanki ,Finnmark,5,
5624,Lebesby,Finnmark,5,
5626,Gamvik,Finnmark,5,
5628,Deatnu-Tana,Finnmark,5,
5630,Berlevåg,Finnmark,5,
5632,Båtsfjord,Finnmark,5,
5634,Vardø,Finnmark,5,
5636,Unjárga-Nesseby,Finnmark,5,
3401,Kongsvinger,Innlandet,2,
3403,Hamar,Innlandet,1,
3405,Lillehammer,Innlandet,1,
3407,Gjøvik,Innlandet,1,
3411,Ringsaker,Innlandet,1,
3412,Løten,Innlandet,1,
3413,Stange,Innlandet,1,
3414,Nord-Odal,Innlandet,2,
3415,Sør-Odal,Innlandet,2,
3416,Eidskog,Innlandet,2,
3417,Grue,Innlandet,2,
3418,Åsnes,Innlandet,2,
3419,Våler (Innlandet),Innlandet,2,
3420,Elverum,Innlandet,1,
3421,Trysil,Innlandet,2,
3422,Åmot,Innlandet,2,
3423,Stor-Elvdal,Innlandet,3,
3424,Rendalen,Innlandet,3,
3425,Engerdal,Innlandet,3,
3426,Tolga,Innlandet,3,
3427,Tynset,Innlandet,3,
3428,Alvdal,Innlandet,3,
3429,Folldal,Innlandet,3,
3430,Os,Innlandet,3,
3431,Dovre,Innlandet,3,
3432,Lesja,Innlandet,3,
3433,Skjåk,Innlandet,3,
3434,Lom,Innlandet,3,
3435,Vågå,Innlandet,3,
3436,Nord-Fron,Innlandet,2,
3437,Sel,Innlandet,3,
3438,Sør-Fron,Innlandet,2,
3439,Ringebu,Innlandet,2,
3440,Øyer,Innlandet,1,
3441,Gausdal,Innlandet,1a,
3442,Østre Toten,Innlandet,1,
3443,Vestre Toten,Innlandet,1,
3446,Gran,Innlandet,1,
3447,Søndre Land,Innlandet,2,
3448,Nordre Land,Innlandet,2,
3449,Sør-Aurdal,Innlandet,3,
3450,Etnedal,Innlandet,3,
3451,Nord-Aurdal,Innlandet,3,
3452,Vestre Slidre,Innlandet,3,
3453,Øystre Slidre,Innlandet,3,
3454,Vang,Innlandet,3,
1505,Kristiansund,Møre og Romsdal,1,
1506,Molde,Møre og Romsdal,2,Gamle Midsund og Nesset
1506,Molde,Møre og Romsdal,1,
1508,Ålesund,Møre og Romsdal,2,Sandøy
1508,Ålesund,Møre og Romsdal,1,
1511,Vanylven,Møre og Romsdal,3,
1514,Sande,Møre og Romsdal,2,
1515,Herøy (Møre og Romsdal),Møre og Romsdal,1,
1516,Ulstein,Møre og Romsdal,1,
1517,Hareid,Møre og Romsdal,1,
1520,Ørsta,Møre og Romsdal,1,
1525,Stranda,Møre og Romsdal,2,
1528,Sykkylven,Møre og Romsdal,2,
1531,Sula,Møre og Romsdal,1,
1532,Giske,Møre og Romsdal,1,
1535,Vestnes,Møre og Romsdal,2,
1539,Rauma,Møre og Romsdal,2,
1547,Aukra,Møre og Romsdal,1a,Deler av tidligere Sandøy er grensejustert over til Aukra
1554,Averøy,Møre og Romsdal,1,
1557,Gjemnes,Møre og Romsdal,1a,
1560,Tingvoll,Møre og Romsdal,2,
1563,Sunndal,Møre og Romsdal,2,
1566,Surnadal,Møre og Romsdal,3,
1573,Smøla,Møre og Romsdal,4,
1576,Aure,Møre og Romsdal,3,
1577,Volda,Møre og Romsdal,2,Gamle Hornindal
1577,Volda,Møre og Romsdal,1,
1578,Fjord,Møre og Romsdal,2,
1579,Hustadvika,Møre og Romsdal,1a,Gamle Eide
1579,Hustadvika,Møre og Romsdal,1,
1580,Haram,Møre og Romsdal,1a,
1804,Bodø,Nordland - Nordlánnda,4a,
1806,Narvik,Nordland - Nordlánnda,4,
1811,Bindal,Nordland - Nordlánnda,4,
1812,Sømna,Nordland - Nordlánnda,4,
1813,Brønnøy,Nordland - Nordlánnda,4,
1815,Vega,Nordland - Nordlánnda,4,
1816,Vevelstad,Nordland - Nordlánnda,4,
1818,Herøy (Nordland),Nordland - Nordlánnda,4,
1820,Alstahaug,Nordland - Nordlánnda,4,
1822,Leirfjord,Nordland - Nordlánnda,4,
1824,Vefsn,Nordland - Nordlánnda,4,
1825,Grane,Nordland - Nordlánnda,4,
1826,Hattfjelldal,Nordland - Nordlánnda,4,
1827,Dønna,Nordland - Nordlánnda,4,
1828,Nesna,Nordland - Nordlánnda,4,
1832,Hemnes,Nordland - Nordlánnda,4,
1833,Rana,Nordland - Nordlánnda,4,
1834,Lurøy,Nordland - Nordlánnda,4,
1835,Træna,Nordland - Nordlánnda,4,
1836,Rødøy,Nordland - Nordlánnda,4,
1837,Meløy,Nordland - Nordlánnda,4,
1838,Gildeskål,Nordland - Nordlánnda,4,
1839,Beiarn,Nordland - Nordlánnda,4,
1840,Saltdal,Nordland - Nordlánnda,4,
1841,Fauske - Fuosko,Nordland - Nordlánnda,4,
1845,Sørfold,Nordland - Nordlánnda,4,
1848,Steigen,Nordland - Nordlánnda,4,
1851,Lødingen,Nordland - Nordlánnda,4,
1853,Evenášši - Evenes,Nordland - Nordlánnda,4,
1856,Røst,Nordland - Nordlánnda,4,
1857,Værøy,Nordland - Nordlánnda,4,
1859,Flakstad,Nordland - Nordlánnda,4,
1860,Vestvågøy,Nordland - Nordlánnda,4,
1865,Vågan,Nordland - Nordlánnda,4,
1866,Hadsel,Nordland - Nordlánnda,4,
1867,Bø,Nordland - Nordlánnda,4,
1868,Øksnes,Nordland - Nordlánnda,4,
1870,Sortland - Suortá,Nordland - Nordlánnda,4,
1871,Andøy,Nordland - Nordlánnda,4,
1874,Moskenes,Nordland - Nordlánnda,4,
1875,Hábmer - Hamarøy,Nordland - Nordlánnda,4,
0301,Oslo,Oslo,1,
1101,Eigersund,Rogaland,1,
1103,Stavanger,Rogaland,1,Deler av tidligere Hjelmeland er grensejustert over til Stavanger
1106,Haugesund,Rogaland,1,
1108,Sandnes,Rogaland,1,
1111,Sokndal,Rogaland,1,
